strategy,benchmark,config_id,success,area,latency,error_type,synthesis_time_s
Grid_offline_ref,matmul,241,False,,,param_incompatibility,0.43
Grid_offline_ref,matmul,242,False,,,param_incompatibility,2.55
Grid_offline_ref,matmul,243,False,,,param_incompatibility,2.51
Grid_offline_ref,matmul,244,False,,,param_incompatibility,2.53
Grid_offline_ref,matmul,245,False,,,param_incompatibility,2.54
Grid_offline_ref,matmul,246,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,247,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,248,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,249,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,250,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,251,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,252,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,253,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,254,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,255,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,256,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,257,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,258,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,259,False,,,param_incompatibility,0.43
Grid_offline_ref,matmul,260,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,261,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,262,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,263,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,264,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,265,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,266,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,267,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,268,False,,,param_incompatibility,2.51
Grid_offline_ref,matmul,269,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,270,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,271,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,272,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,273,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,274,False,,,param_incompatibility,2.49
Grid_offline_ref,matmul,275,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,276,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,277,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,278,False,,,pipeline_phi_conflict,2.48
Grid_offline_ref,matmul,279,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,280,False,,,pipeline_phi_conflict,2.46
Grid_offline_ref,matmul,281,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,282,False,,,pipeline_phi_conflict,2.4
Grid_offline_ref,matmul,283,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,284,False,,,pipeline_phi_conflict,2.47
Grid_offline_ref,matmul,285,False,,,pipeline_phi_conflict,2.46
Grid_offline_ref,matmul,286,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,287,False,,,pipeline_phi_conflict,2.43
Grid_offline_ref,matmul,288,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,289,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,290,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,291,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,292,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,293,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,294,False,,,param_incompatibility,2.48
Grid_offline_ref,matmul,295,False,,,param_incompatibility,0.42
Grid_offline_ref,matmul,296,False,,,param_incompatibility,2.48
Grid_offline_ref,matmul,297,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,298,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,299,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,300,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,301,False,,,param_incompatibility,0.42
Grid_offline_ref,matmul,302,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,303,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,304,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,305,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,306,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,307,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,308,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,309,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,310,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,311,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,312,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,313,False,,,param_incompatibility,0.42
Grid_offline_ref,matmul,314,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,315,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,316,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,317,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,318,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,319,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,320,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,321,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,322,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,323,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,324,False,,,pipeline_phi_conflict,2.46
Grid_offline_ref,matmul,325,False,,,param_incompatibility,0.43
Grid_offline_ref,matmul,326,False,,,pipeline_phi_conflict,2.48
Grid_offline_ref,matmul,327,False,,,pipeline_phi_conflict,2.51
Grid_offline_ref,matmul,328,False,,,pipeline_phi_conflict,2.47
Grid_offline_ref,matmul,329,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,330,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,331,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,332,False,,,pipeline_phi_conflict,2.49
Grid_offline_ref,matmul,333,False,,,pipeline_phi_conflict,2.47
Grid_offline_ref,matmul,334,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,335,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,336,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,337,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,338,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,339,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,340,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,341,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,342,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,343,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,344,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,345,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,346,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,347,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,348,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,349,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,350,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,351,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,352,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,353,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,354,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,355,False,,,param_incompatibility,0.42
Grid_offline_ref,matmul,356,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,357,False,,,param_incompatibility,2.48
Grid_offline_ref,matmul,358,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,359,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,360,False,,,param_incompatibility,2.49
Grid_offline_ref,matmul,361,False,,,param_incompatibility,0.42
Grid_offline_ref,matmul,362,False,,,param_incompatibility,2.5
Grid_offline_ref,matmul,363,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,364,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,365,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,366,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,367,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,368,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,369,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,370,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,371,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,372,False,,,pipeline_phi_conflict,2.43
Grid_offline_ref,matmul,373,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,374,False,,,pipeline_phi_conflict,2.44
Grid_offline_ref,matmul,375,False,,,pipeline_phi_conflict,2.44
Grid_offline_ref,matmul,376,False,,,pipeline_phi_conflict,2.47
Grid_offline_ref,matmul,377,False,,,pipeline_phi_conflict,2.47
Grid_offline_ref,matmul,378,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,379,False,,,param_incompatibility,0.41
